coin,horizon,seed,sharpe_har,sharpe_lstm,sharpe_bh,delta_sharpe_lstm_vs_har,lw_se,t_stat,mse_har,mse_lstm,mse_reduction_pct,loss_fn,n_obs,lstm_preds,har_preds,dm_stat,dm_pvalue,mean_loss_diff,dm_verdict
BTC-USD,10,7,0.8375529843011373,0.867756323888684,0.60241085270662,0.030203339587546618,0.001580857419705527,19.10566962653262,0.5706841531937791,0.4551161457554367,-20.250782642478704,mse,1845,1845,1845,-2.2014158826549397,0.02783007728575826,-0.11556800743834234,BEATS baseline
BTC-USD,10,42,0.8375529843011373,0.8996468489274964,0.60241085270662,0.06209386462635902,0.0021478667500731863,28.90955159310662,0.5706841531937791,0.5242518217345866,-8.136257367466465,mse,1845,1845,1845,-0.7099167161101081,0.47784554436054316,-0.046432331459192365,INCONCLUSIVE
ETH-USD,1,0,0.6632087321506644,0.6882473773357458,0.8566036741094256,0.025038645185081365,0.002171538195528325,11.530372911073563,0.6844070737248058,0.7293252325519558,6.5630763549371505,mse,1240,1240,1240,1.9969317037862828,0.04605103294176427,0.044918158827150056,BEATEN BY baseline
ETH-USD,1,1,0.6632087321506644,0.6669900622591987,0.8566036741094256,0.003781330108534209,0.001879229427268878,2.012170549090268,0.6844070737248058,0.7282277353654892,6.402718984506485,mse,1240,1240,1240,2.083296610400526,0.037428796198685665,0.04382066164068339,BEATEN BY baseline
ETH-USD,1,7,0.6632087321506644,0.7003220444938081,0.8566036741094256,0.037113312343143634,0.001763558464760971,21.04456023700575,0.6844070737248058,0.7502610200254786,9.622043492664435,mse,1240,1240,1240,2.2436101499221794,0.02503357189320088,0.0658539463006728,BEATEN BY baseline
ETH-USD,1,42,0.6632087321506644,0.700208725841858,0.8566036741094256,0.036999993691193556,0.0017250429193902091,21.448738043151298,0.6844070737248058,0.7372980789706635,7.728003884881628,mse,1240,1240,1240,1.8116945648739478,0.07027543650334356,0.05289100524585777,INCONCLUSIVE
ETH-USD,5,0,0.5326744944883858,0.5026348887121747,0.8341941623821821,-0.03003960577621112,0.0012273451458932416,-24.475271586582753,0.37362459717689667,0.39622880380665804,6.049978186810639,mse,1220,1220,1220,0.8535103603645358,0.39354402547787415,0.022604206629761366,INCONCLUSIVE
ETH-USD,5,1,0.5326744944883858,0.4886016313071171,0.8341941623821821,-0.044072863181268684,0.0013142578189551412,-33.53441200472173,0.37362459717689667,0.4156790307345623,11.255798969186845,mse,1220,1220,1220,1.5801397171254947,0.1143342989766214,0.04205443355766565,INCONCLUSIVE
ETH-USD,5,7,0.5326744944883858,0.49180352439007086,0.8341941623821821,-0.04087097009831492,0.0012262723626919744,-33.32943915378874,0.37362459717689667,0.4544308196926979,21.627650622141086,mse,1220,1220,1220,1.8675575576747785,0.06206359095813929,0.08080622251580127,INCONCLUSIVE
ETH-USD,5,42,0.5326744944883858,0.502400913290959,0.8341941623821821,-0.030273581197426735,0.001274482958685851,-23.753617881750674,0.37362459717689667,0.40232236237402264,7.680908969582294,mse,1220,1220,1220,1.2185829389549665,0.223238304402692,0.028697765197125965,INCONCLUSIVE
ETH-USD,10,0,0.6978171322281951,0.6846525733334046,0.7629128303414876,-0.013164558894790512,0.0020771338316375506,-6.337848189787542,0.3745029009204712,0.4190358200155655,11.891208048225828,mse,1195,1195,1195,1.2970281990029806,0.19487205549556674,0.04453291909509431,INCONCLUSIVE
ETH-USD,10,1,0.6978171322281951,0.667807816344068,0.7629128303414876,-0.03000931588412703,0.002124630493469463,-14.124487046744136,0.3745029009204712,0.3890136044808248,3.874657185481995,mse,1195,1195,1195,0.43299088896071564,0.6650995907314412,0.01451070356035361,INCONCLUSIVE
ETH-USD,10,7,0.6978171322281951,0.6705458432595423,0.7629128303414876,-0.02727128896865283,0.0019320258226665768,-14.11538533735179,0.3745029009204712,0.4448980600680576,18.796959642920193,mse,1195,1195,1195,1.8430125453097745,0.06557492393258624,0.07039515914758634,INCONCLUSIVE
ETH-USD,10,42,0.6978171322281951,0.6629185695020425,0.7629128303414876,-0.03489856272615255,0.0021536642001921875,-16.20427303524769,0.3745029009204712,0.40773734440453085,8.87428198883758,mse,1195,1195,1195,1.0322603460749782,0.30215921065709317,0.033234443484059614,INCONCLUSIVE
SOL-USD,1,0,-0.993611297859891,-1.0188250179154337,-0.8795496197822651,-0.025213720055542677,0.004830157943747354,-5.220061196587136,0.6137386676640278,0.7026017058190985,14.478970095414615,mse,595,595,595,2.7491687101936093,0.006156425067134208,0.0888630381550708,BEATEN BY baseline
SOL-USD,1,1,-0.993611297859891,-0.968105127670682,-0.8795496197822651,0.025506170189208976,0.00401188694090868,6.35764929692458,0.6137386676640278,0.7123480538284594,16.06699909258646,mse,595,595,595,2.9803527283299283,0.002996932823618348,0.0986093861644317,BEATEN BY baseline
SOL-USD,1,7,-0.993611297859891,-0.9916156931405368,-0.8795496197822651,0.001995604719354227,0.00402554089049377,0.4957357964160308,0.6137386676640278,0.719326438351664,17.204027748409178,mse,595,595,595,2.9840031573686363,0.0029619370150579805,0.10558777068763633,BEATEN BY baseline
SOL-USD,1,42,-0.993611297859891,-1.0084014290832324,-0.8795496197822651,-0.014790131223341385,0.004488050599644436,-3.2954466298827216,0.6137386676640278,0.7217843454963843,17.604508812128923,mse,595,595,595,2.508522287938642,0.012389052313923399,0.1080456778323564,BEATEN BY baseline
