family,instance_id,node_id,candidate,domain_size,domain_ratio,degree,degree_ratio,weighted_degree,activity,dom_wdeg,progress,neighbor_domain_min,neighbor_domain_mean,neighbor_domain_max,label
queens,queens-11,queens-11:1,q1,11.0,1.0,10.0,1.0,10.0,0.0,1.1,0.0,11.0,11.0,11.0,0
queens,queens-11,queens-11:1,q2,11.0,1.0,10.0,1.0,10.0,0.0,1.1,0.0,11.0,11.0,11.0,0
queens,queens-11,queens-11:1,q3,11.0,1.0,10.0,1.0,10.0,0.0,1.1,0.0,11.0,11.0,11.0,0
queens,queens-11,queens-11:1,q4,11.0,1.0,10.0,1.0,10.0,0.0,1.1,0.0,11.0,11.0,11.0,0
queens,queens-11,queens-11:1,q5,11.0,1.0,10.0,1.0,10.0,0.0,1.1,0.0,11.0,11.0,11.0,0
queens,queens-11,queens-11:1,q6,11.0,1.0,10.0,1.0,10.0,0.0,1.1,0.0,11.0,11.0,11.0,0
queens,queens-11,queens-11:1,q7,11.0,1.0,10.0,1.0,10.0,0.0,1.1,0.0,11.0,11.0,11.0,0
queens,queens-11,queens-11:1,q8,11.0,1.0,10.0,1.0,10.0,0.0,1.1,0.0,11.0,11.0,11.0,0
queens,queens-11,queens-11:1,q9,11.0,1.0,10.0,1.0,10.0,0.0,1.1,0.0,11.0,11.0,11.0,0
queens,queens-11,queens-11:1,q10,11.0,1.0,10.0,1.0,10.0,0.0,1.1,0.0,11.0,11.0,11.0,0
queens,queens-11,queens-11:2,q1,9.0,0.8181818181818182,9.0,0.9,9.0,1.0,1.0,0.09090909090909091,9.0,9.0,9.0,1
queens,queens-11,queens-11:2,q2,9.0,0.8181818181818182,9.0,0.9,9.0,1.0,1.0,0.09090909090909091,9.0,9.0,9.0,0
queens,queens-11,queens-11:2,q3,9.0,0.8181818181818182,9.0,0.9,9.0,1.0,1.0,0.09090909090909091,9.0,9.0,9.0,0
queens,queens-11,queens-11:2,q4,9.0,0.8181818181818182,9.0,0.9,9.0,1.0,1.0,0.09090909090909091,9.0,9.0,9.0,0
queens,queens-11,queens-11:2,q5,9.0,0.8181818181818182,9.0,0.9,9.0,1.0,1.0,0.09090909090909091,9.0,9.0,9.0,0
queens,queens-11,queens-11:2,q6,9.0,0.8181818181818182,9.0,0.9,9.0,1.0,1.0,0.09090909090909091,9.0,9.0,9.0,0
